PROVINCIA,PARTIDO,LOCALIDAD,POBLACION,M_ADSL,M_CABLEMODEM,M_DIAL_UP,M_FIBRA_OPTICA,M_SATELITAL,M_WIRELESS,M_TELEFONIA_FIJA,M_3G,M_4G,LATITUD,LONGITUD,DISTANCIA
BUENOS AIRES,GENERAL SAN MARTÍN,VILLA PARQUE SAN LORENZO,4567,False,True,False,True,False,False,False,True,True,-34.5618730613851,-58.5336624494541,10.27
BUENOS AIRES,GENERAL SAN MARTÍN,VILLA SAN ANDRÉS,10018,True,True,False,True,False,True,True,True,True,-34.5659932905453,-58.5448069225448,11.24
BUENOS AIRES,GENERAL SAN MARTÍN,VILLA YAPEYÚ,3654,False,True,False,True,False,False,False,True,True,-34.5716953020123,-58.5491073994839,11.6
BUENOS AIRES,GENERAL VIAMONTE,BAIGORRITA,1848,True,False,False,False,False,True,True,False,False,-34.7472686783062,-60.9889526585307,235.51
BUENOS AIRES,GENERAL VIAMONTE,LA DELFINA,26,False,False,False,False,False,False,False,False,False,-34.9420471191406,-61.1595687866211,253.36
BUENOS AIRES,GENERAL VIAMONTE,LOS TOLDOS,14496,True,False,True,True,False,True,True,True,True,-35.0010365651503,-61.0381497866181,243.53
BUENOS AIRES,GENERAL VIAMONTE,SAN EMILIO,142,False,False,False,False,False,False,False,False,False,-35.0319914044113,-60.8647685857183,228.72
BUENOS AIRES,GENERAL VIAMONTE,ZAVALÍA,327,False,False,False,False,False,True,True,False,False,-34.8949208760254,-61.0044538243489,238.61
BUENOS AIRES,GENERAL VILLEGAS,BANDERALÓ,1339,False,False,False,False,True,False,False,True,True,-35.0124666610174,-63.3741563457186,454.72
BUENOS AIRES,GENERAL VILLEGAS,CAÑADA SECA,718,False,False,False,False,False,False,False,False,True,-34.4155054560621,-62.9618553806295,416.33
BUENOS AIRES,TRENQUE LAUQUEN,BERUTTI,1098,False,False,False,True,False,False,True,True,True,-35.8580311359835,-62.5126328995628,398.0
BUENOS AIRES,TRENQUE LAUQUEN,GIRODIAS,161,True,False,False,False,False,True,True,False,False,-36.367451804132,-62.3569660936558,408.25
BUENOS AIRES,TRENQUE LAUQUEN,LA CARRETA,45,False,False,False,False,False,True,False,False,False,-36.207576751709,-62.2386894226074,390.67
BUENOS AIRES,TRENQUE LAUQUEN,TRENQUE LAUQUEN,33442,True,False,True,True,True,True,True,True,True,-35.9746951559846,-62.7323099655579,421.04
BUENOS AIRES,TRENQUE LAUQUEN,TRONGÉ,23,False,False,False,False,False,True,False,False,False,-36.4603092402658,-62.4871229040303,423.4
BUENOS AIRES,TRES ARROYOS,BALNEARIO ORENSE,77,False,False,False,False,False,False,False,True,True,-38.8079580951783,-59.7382989446997,485.16
BUENOS AIRES,TRES ARROYOS,CLAROMECÓ,2081,True,False,False,True,False,True,True,False,False,-38.7973744243016,-60.107623035402,493.03
BUENOS AIRES,TRES ARROYOS,COPETONAS,1017,False,False,False,True,False,True,True,True,True,-38.7227403438549,-60.4519655195991,495.53
BUENOS AIRES,TRES ARROYOS,DUNAMAR,0,False,False,False,False,False,False,False,True,True,-38.8586780962346,-60.0873319312173,498.97
BUENOS AIRES,TRES ARROYOS,LIN CALEL,0,False,False,False,False,False,True,False,False,False,-38.7081778337076,-60.2417246463467,487.47
